order_id,order_date,region,channel,product,customer_id,quantity,unit_price,discount_rate,shipping_fee,is_returned,rating,order_month,gross_amount,net_amount
ORD-0002,2024-01-15,영남,온라인,노트북,C006,1,25000,0.1,5000.0,0,3.0,2024-01,25000,27500.0
ORD-0005,2024-01-21,충청,온라인,마우스,C004,2,45000,0.0,2500.0,0,,2024-01,90000,92500.0
ORD-0011,2024-01-24,수도권,매장,태블릿,C055,4,950000,0.0,3000.0,0,4.0,2024-01,3800000,3803000.0
ORD-0012,2024-01-03,충청,온라인,모니터,C009,5,45000,,3000.0,0,5.0,2024-01,225000,228000.0
ORD-0013,2024-01-22,영남,온라인,노트북,C055,4,950000,0.15,3000.0,0,4.0,2024-01,3800000,3233000.0
ORD-0015,2024-01-02,호남,온라인,마우스,C051,5,45000,,2500.0,1,2.0,2024-01,225000,227500.0
ORD-0017,2024-01-30,수도권,매장,모니터,C040,4,25000,0.05,0.0,1,2.0,2024-01,100000,95000.0
ORD-0019,2024-01-02,수도권,온라인,키보드,C036,5,180000,0.1,0.0,0,5.0,2024-01,900000,810000.0
ORD-0022,2024-01-21,영남,매장,마우스,C006,3,950000,0.0,0.0,0,3.0,2024-01,2850000,2850000.0
ORD-0026,2024-01-22,호남,온라인,모니터,C011,2,25000,0.05,0.0,0,,2024-01,50000,47500.0
ORD-0034,2024-01-15,수도권,온라인,마우스,C038,3,950000,0.15,3000.0,0,4.0,2024-01,2850000,2425500.0
ORD-0042,2024-01-03,수도권,매장,모니터,C051,3,180000,0.05,5000.0,0,5.0,2024-01,540000,518000.0
ORD-0044,2024-01-07,수도권,온라인,노트북,C044,4,1250000,0.0,5000.0,0,5.0,2024-01,5000000,5005000.0
ORD-0045,2024-01-21,충청,매장,마우스,C005,4,45000,0.1,2500.0,0,5.0,2024-01,180000,164500.0
ORD-0048,2024-01-18,충청,매장,마우스,C054,5,12000,0.05,3000.0,0,4.0,2024-01,60000,60000.0
ORD-0049,2024-01-04,수도권,온라인,모니터,C004,2,12000,0.05,0.0,0,3.0,2024-01,24000,22800.0
ORD-0052,2024-01-14,영남,온라인,마우스,C033,2,180000,0.0,0.0,0,,2024-01,360000,360000.0
ORD-0053,2024-01-09,수도권,매장,태블릿,C020,1,25000,0.1,5000.0,0,4.0,2024-01,25000,27500.0
ORD-0056,2024-01-02,수도권,온라인,마우스,C047,1,25000,0.15,2500.0,0,5.0,2024-01,25000,23750.0
ORD-0061,2024-01-08,영남,온라인,태블릿,C037,2,180000,0.1,3000.0,0,3.0,2024-01,360000,327000.0
ORD-0068,2024-01-04,호남,온라인,모니터,C006,5,12000,0.15,3000.0,1,2.0,2024-01,60000,54000.0
ORD-0069,2024-01-02,영남,매장,모니터,C050,1,45000,0.15,0.0,0,,2024-01,45000,38250.0
ORD-0070,2024-01-06,수도권,온라인,마우스,C056,2,45000,0.0,0.0,1,4.0,2024-01,90000,90000.0
ORD-0072,2024-01-04,영남,매장,노트북,C005,1,180000,0.0,2500.0,1,4.0,2024-01,180000,182500.0
ORD-0075,2024-01-18,영남,온라인,모니터,C044,1,180000,0.0,3000.0,0,4.0,2024-01,180000,183000.0
ORD-0081,2024-01-14,수도권,매장,모니터,C001,2,950000,0.1,5000.0,0,3.0,2024-01,1900000,1715000.0
ORD-0083,2024-01-15,영남,온라인,모니터,C009,3,25000,0.1,2500.0,0,5.0,2024-01,75000,70000.0
ORD-0093,2024-01-24,영남,온라인,마우스,C031,4,950000,0.1,3000.0,0,3.0,2024-01,3800000,3423000.0
ORD-0094,2024-01-26,영남,매장,모니터,C049,5,180000,,3000.0,0,2.0,2024-01,900000,903000.0
ORD-0098,2024-01-29,수도권,온라인,모니터,C050,3,950000,0.0,,0,,2024-01,2850000,2850000.0
ORD-0099,2024-01-15,수도권,매장,태블릿,C014,2,25000,0.0,0.0,0,5.0,2024-01,50000,50000.0
ORD-0104,2024-01-09,호남,파트너,노트북,C034,1,12000,0.1,2500.0,1,4.0,2024-01,12000,13300.0
ORD-0106,2024-01-01,영남,온라인,노트북,C035,1,1250000,0.15,5000.0,0,5.0,2024-01,1250000,1067500.0
ORD-0107,2024-01-08,충청,파트너,키보드,C035,1,25000,,2500.0,0,4.0,2024-01,25000,27500.0
ORD-0110,2024-01-11,수도권,매장,마우스,C022,5,12000,0.0,3000.0,1,4.0,2024-01,60000,63000.0
ORD-0112,2024-01-08,수도권,온라인,키보드,C029,1,25000,0.0,2500.0,0,5.0,2024-01,25000,27500.0
ORD-0116,2024-01-05,호남,매장,노트북,C037,3,45000,0.1,2500.0,0,4.0,2024-01,135000,124000.0
ORD-0118,2024-01-28,호남,온라인,노트북,C060,1,950000,0.05,0.0,0,3.0,2024-01,950000,902500.0
ORD-0119,2024-01-07,수도권,온라인,노트북,C030,5,25000,0.0,,0,5.0,2024-01,125000,125000.0
ORD-0122,2024-01-12,수도권,온라인,노트북,C037,2,45000,0.05,0.0,0,3.0,2024-01,90000,85500.0
ORD-0126,2024-01-23,수도권,온라인,노트북,C014,2,180000,0.0,5000.0,0,5.0,2024-01,360000,365000.0
