order_id,order_date,region,channel,product,customer_id,quantity,unit_price,discount_rate,shipping_fee,is_returned,rating,order_month,gross_amount,net_amount
ORD-0001,2024-02-21,수도권,파트너,마우스,C006,3,45000,,3000.0,0,5.0,2024-02,135000,138000.0
ORD-0014,2024-02-22,수도권,온라인,마우스,C003,5,950000,,0.0,0,4.0,2024-02,4750000,4750000.0
ORD-0018,2024-02-07,충청,매장,태블릿,C037,4,45000,0.1,2500.0,0,5.0,2024-02,180000,164500.0
ORD-0021,2024-02-29,수도권,매장,노트북,C031,3,12000,0.15,2500.0,0,1.0,2024-02,36000,33100.0
ORD-0023,2024-02-02,충청,매장,키보드,C002,3,1250000,0.0,3000.0,0,3.0,2024-02,3750000,3753000.0
ORD-0025,2024-02-27,수도권,온라인,키보드,C028,4,12000,0.05,5000.0,0,2.0,2024-02,48000,50600.0
ORD-0028,2024-02-18,수도권,온라인,마우스,C015,3,1250000,0.15,0.0,0,3.0,2024-02,3750000,3187500.0
ORD-0030,2024-02-28,호남,온라인,노트북,C054,4,45000,0.0,3000.0,0,4.0,2024-02,180000,183000.0
ORD-0031,2024-02-11,수도권,온라인,노트북,C049,3,25000,0.15,0.0,0,4.0,2024-02,75000,63750.0
ORD-0032,2024-02-29,영남,파트너,태블릿,C030,2,45000,,,0,4.0,2024-02,90000,90000.0
ORD-0037,2024-02-16,영남,온라인,태블릿,C002,5,12000,0.0,3000.0,0,3.0,2024-02,60000,63000.0
ORD-0039,2024-02-20,충청,온라인,마우스,C011,1,950000,0.05,2500.0,0,2.0,2024-02,950000,905000.0
ORD-0040,2024-02-24,수도권,온라인,마우스,C008,1,45000,0.0,5000.0,0,5.0,2024-02,45000,50000.0
ORD-0043,2024-02-20,수도권,온라인,태블릿,C045,4,12000,0.0,3000.0,0,5.0,2024-02,48000,51000.0
ORD-0047,2024-02-08,수도권,파트너,마우스,C026,5,45000,0.15,3000.0,0,2.0,2024-02,225000,194250.0
ORD-0051,2024-02-29,수도권,매장,마우스,C020,4,12000,0.15,0.0,0,3.0,2024-02,48000,40800.0
